,en,tn
0,Take the kid by the hand and cross the street with him.,شد إطفل من يدو وشق بيه إلكياس
1,He took the chair with his leg and threw it.,شد إلكرسي من ساقو ورماه
2,Grab the rope well and don't let go.,شد الحبل بالقوي وماتسيبوش
3,Messi got into a pattern of scoring every match.,ميسي شد الريتم متاع التسجيل في كل ماتش
4,He held to his opinion and didn't want to change his ideas.,شد في رايو وما حبش يبدل فكرتو
5,He waited to eat because he was fasting.,شد روحو عل ماكلة خاترو صايم
6,Take and drink this glass of lemonade.,شد أشرب كاس سيتروناد
7,He was well-behaved and began to eat well.,شد إريڨلة ونظم روحو فلماكلا
8,Patience and self-control is a necessary thing.,شد النفس والتحكم فيها حاجا ضرورية
9,He grabbed the mirror firmly and broke it.,شد لمرايا بلقوي ياخي كسرها
10,He heard a great joke and laughed until his sides hurt.,سمع نكت خشينا ياسر ياخي شد جنابو مضحك
11,He persevered in his studies until he got a doctorate.,شد صحيح في قرايتو حتى خذى إدكتورا
12,He kept his position and didn't want to cahnge his views.,شد في موقفو وما حبش يبدل توجهاتو
13,He kept singing and wouldn't stop from morning to night.,شد ما سيب فلغنى مصباح لليل
14,He took his place in the bus before everyone else.,شد بلاصتو فلكار قبل إناس إلكل
15,Take the cup carefully so you don't spill it.,شد الكاس بشويا لا توا تبزعو
16,He got in line to buy a ticket for the metro.,شد الصف باش يقص إتسكر متع إلمترو
17,"After they saw the thief, he took off and ran away.",السارق بعد مافاقو بيه شد الربعي و هرب
18,He got a job and is working; he's doing well.,شد بلاصتو و يخدم لاباس عليه
19,"When you go under the water, try to hold your breath longer.",كي تهبط تحط الماء حاول شد النفس أكثر
20,Ahmed insisted that I go to the party with them.,أحمد شد فيا الصحيح باش نمشي نسهر معاهم
21,"He kept nagging me and calling me, bothering me because he wants me to give him money.",شد ما سيب بتاليفونات يمرج فيا يحبني نعطيه لفلوس
22,Her friend held it over her and always threatened her.,صاحبها شد عليها البروفا وديما يهدد فيها
23,Why are you always following that girl? You keep following her from place to place.,شبيك شاد قارد للطفلة تبع فيها من بلاصة لبلاصة
24,That case draws attention.,الحالة هاذي تشد الإنتباه
25,I felt like he was on guard and didn't want anyone to come near him or talk with him.,حسيتو شاد ڨارد وما يحبش حتى حد يقربلو والا يحكي معاه
26,Rami took Marwa and lifted her up to have sex with her.,رامي شد مروى هزلها ساقيها
27,Get in line; buying tickets is one by one.,شد الصف قصان التساكر بالطور
28,Aymen grabbed the kid and beat him bloody.,أيمن شد الطفل دمدمو بطريحة
29,Mohsen held the boy and tricked him.,محسن شد الطفل لعب بيه لعب
30,"After all that he had done, he repented and walked on the straight path.",بعد لعمايل الي عملها الكل تاب و شد الطريق المستقيم
31,"The terrorist lifted his hands when the police caught him with weapons and said, ""Stop!""",الإرهابي هز إيديه وقتلي البوليس شد عليه سلاح و قالو: آقف !
32,He took his seat and was well-behaved.,شد بلاصتو وبقى رايض
33,Ahmed took over administration of the company provisionally until the director comes back from traveling.,أحمد شد بروفيزوار ادارة الشركة حتى لين يرجع المدير من السفر
34,He tampered with checks and so went to jail.,ترفك الشيكات ياخي شد الحبس
35,Grab the handle of the hammer in the middle and hit.,شد يد المطرقة من الوسط و أضرب
36,The guard took the door and closed it today and didn't let me go meet the director.,اليوم البواب شد الباب سكرو ماخلنيش ندخل نقابل المدير
37,"Take the shirt and wet it, then let it dry out.",شد بل المريول وبعد شيحو
38,He caught a big fish and it snapped the fishing line.,شد حوتا كبيرا ياخي قطعتلو خيط إصنارة
39,"What, is he some kind of real jerk? I told him to get in line like everyone else, but he didn't want to.",آش بيه خراوات ياخي ، قتلو شد إصف كيناس لكل وما حبش
40,"Wow, she's really beautiful.",محلاها مزيانة برشا
41,He earned a lot of money from the new project.,طيح برشة فلوس من مشروعو الجديد
42,The President of the Republic has a lot of money.,رئيس الجمعية عندو برشة فلوس
43,When he was little he dreamt a lot and wanted to achieve many things.,كيف كان صغير كان يحلم برشا ويحب يحقق برشا حاجات
44,Your friend keeps looking all around.,عينيه تلعب برشا صاحبك
45,These days I am very busy.,أنا ليامات لاهي برشا
46,I went to Sousse a lot.,مشيت برشا مرات لسوسة.
47,He took a lot of time to think about the subject and we are waiting for him until now.,خذا برشا وقت باش يخمم فلموضوع وهانا لتوا نستناو
48,That shirt is all over the market.,المريول هذا فما منو برشا فالسوق
49,The price of meat is going up a lot these days.,سوم اللحم طالع برشا ليامات
50,Almonds are not commonly available.,اللوز مش موجود برشا
51,He drank a lot because he was so thirsty.,شرب برشا من كثرة ما عطش
52,He dreamt a lot and imagined that life was easy; then he ran into reality.,حلم برشا وكان يستخايل الدنيا ساهلا ، ياخي بعديكا تصدم بالواقع
53,"He had a lot of doubts about his abilities, which caused him to fail in life.",شك برشا في إمكانياتو ، إشي إلي خلاه يفشل في حياتو .
54,Life isn't that hard.,الدنيا مهيش صعيبة برشا
55,He lost a lot of money over stupid things.,خسر برشا فلوس على حكايات فارغا
56,My brother is well-educated.,خويا قاري برشة
57,He earned a lot of money.,صور برشا فلوس
58,That guy makes a lot of noise; he talks all day long.,شسمو حسو برشا نهار و طولو و هوا يهتري
59,"My friend had many jobs - once as a farmer, once as a builder, and once as a taxi driver.",صاحبي خدم برشا خدم ، مرا فلاح ، مرا بناي ، مرا تاكسيست
60,Yassine won a lot of money this month.,ياسين ربح برشا فلوس الشهر هاذا
61,Our neighbor is very rich.,جارنا لاباس عليه برشا
62,That woman has a lot of children.,المرا هاذي عندها برشا ذري
63,That guy is rich.,هذاكا فلوسو برشا
64,Be a little looser with your money and quit being so stingy.,تحل شويا في المصروف و يزي م التقرنيط
65,"Africa has a lot of diamonds, but it is very poor.",لافريك فيها برشا ديامون لكن فيها برشا فقر
66,"There are a lot of political fronts in Tunisia: the Salvation Front, the Popular Front, and a lot of others; they're all political parties.","في تونس فما برشا جبهات,جبهة الإنقاذ و الجبهة الشعبية و برشا أخرين,بكلهم أحزاب"
67,Anemic people need to eat a lot of vegetables and a lot of food with iron.,العبد الأنيميك لازمو ياكل برشة خضرة و برشة ماكلة فيها الحديد.
68,He won a lot of money and has great luck.,ربح برشة فلوس ، عندو بخت طيارة برشة.
69,The beach is very rough today; there is a lot of wind.,"البحر اليوم إموج برشة, فمة برشة ريح"
70,Playing around a ton smacked him in the face and caused him to fall behind in his studies.,اللعب برشة برشة صطكو و خلاه يوخر في قرايتو
71,"When I have a lot of work and the phone is ringing a lot, it distracts me.",وقتلي تبدى عندي برشة خدمة و التاليفون ينوقز برشة مرات إمهمشني
72,"If you want to become tougher, eat a lot of protein and exercise a lot.",تحب تغول كول برشة بروتيين و أعمل برشة سبور
73,"Pineappples are really good, but too bad, they're not very common in Tunisia.",الأناناس غلة بنينة برشة أما خسارة موش موجودة برشة في تونس
74,This book is very useful and you can learn a lot of things from it.,الكتاب هاذا مفيد برشة تعلم منو برشة حاجات
75,I put a lot of paprika in the food an it turned out to be very hot.,حطيت برشة بابريكا في الماكلة جات محرحرة برشة
76,There are a lot of people who say our age now is very bad and they describe it as the fallen age.,فمة برشة ناس يقولوا العصر متاعنا توة خايب برشة و يوصفوه بعصر الإنحطاط.
77,"Breast milk is very healthy for the newborn, and also it is better than any other milk.",حليب الرضاعة صحي برشا للمولود إجديد وزادا خير برشا من أي حليب آخر
78,A lot of visitors come in the summer.,في الصيف يجيو برشا زمقري
79,There are a lot of reptiles in the desert.,برشا زواحف في الصحراء
80,Tomorrow is going to be hot.,غدوة باش يجي نهار سخون
81,You'll start work tomorrow.,من غدوا تبدى الخدمة
82,Today is Friday and the day after tomorrow is Sunday.,اليوم جمعة ، بعد غدوة أحد.
83,It will rain in the northwest tomorrow.,غدوة باش تصب المطر في جهة الشمال الغربي
84,"In summary, I'm not coming with you tomorrow.",الحاصل أنا غدوا مانيش باش نجي معاكم
85,"According to the weather report, the weather will change tomorrow.",حسب التوقعات الجوية غدوة الطقس باش يتبدل
86,Mourad gave his fiancee her engagement ring; they'll get married this summer.,غدوة خويا باش يلبس الخاتم
87,I'm going to appear before the judge tomorrow.,غدوة باش نمتثل قدام القاضي
88,I have a meet-up tomorrow morning.,عندي رنديفو غدوة الصباح
89,Tomorrow I'm going to study.,غدوا ماشي نقرا
90,Tomorrow is a holiday.,غدوا نهار عطلة
91,I have a meeting tomorrow.,عندي إجتماع غدوة
92,I have a test tomorrow.,غدوة عندي إكزامان
93,I have a presentation at work tomorrow.,غدوة عندي إكسبوزي في الخدمة
94,Don't forget to come on time for the meeting tomorrow.,ماتنساش غدوا باش تجي في الوقت متاع الإجتماع
95,I got some information that there is a train strike tomorrow.,جاتني أنفورماسيون إلي فمة إضراب متاع ترينوات غدوة.
96,"Oh, wow, is there really a taxi strike today?",أوخ ! بلحق فمة إضراب تاكسيات غدوة ،
97,I'm going to go to the town hall tomorrow to take care of my papers.,غدوة باش نمشي للبلدية نڨد أوراقي.
98,"Of course, now. You'll have your money tomorrow.",بهيشي عاد غدوا فلوسك يكونو عندك
99,I'm goig to the national library tomorrow to look for references.,غدوة نمشي للمكتبة الوطنية بش نلوج عل المراجع
100,They did a quick TV spot on the program they're going to show tomorrow.,عداو فلاش صغير فالتلفزفة عالبرنامج إلي باش يعديوه غدوة
101,God willing you'll figure it out tomorrow in the test.,إنشالله تسلكها غدوة في الإكزامان
102,"He always puts things off; if you tell him to come and do something, he tells you, 'Let's do it tomorrow.'","ديما موخرها التالي,تقلو إيجا نعملو أكا الحاجة يقلك توا غدوة"
103,I need to go to the radiologist tomorrow morning.,يلزمني نمشي لراديولوق غدوة الصباح
104,"We will meet tomorrow morning, Lord willing.",نتقابلو غدوا الصباح انشاء الله
105,I'm going to France tomorrow.,غدوة طالع لفرنسا
106,I assume tomorrow will be the first day of Ramadan.,نظن انو غدوا أول يوم في رمضان
107,The man who robbed the house was pardoned; he leaves jail tomorrow,الراجل الي سرق الدار عفاو عليه و غدوة يخرج من الحبس
108,We're going to take the bride's gift tomorrow.,غدوة باش نهزو العقيرة للعروسة
109,Bring a Tunisian flag tomorrow.,غدوة جيب معاك علم تونس
110,Tomorrow is the sacrifice holiday.,غدوا عيد الإضحى
111,Tomorrow is independence day.,غدوا عيد الإستقلال
112,Tomorrow we're going to bring a sample of the new product.,غدوة باش نمشي للمعمل نجيب عينة من البرودوي الجديد
113,Let's meet in the set place tomorrow.,نتقبلوا غدوا في المكان المحدد
114,I'll finish working on it tomorrow.,آتوا نكمل نخدمها غدوة
115,I'm going to do the car inspection tomorrow.,غدوة باش نمشي نعمل الفحص الفني للكرهبة
116,I'm going to the federation tomorrow to bring the prizes for the players.,غدوة باش نمشي للفيديراسيون باش نجيب الاجازات متع الملاعبية
117,There is a festival in Hammamat tomorrow.,فما فستفال فالحمامات غدوا
118,There is a possibility we'll meet tomorrow.,فما إمكانية نتقابلو غدوا
119,Someone gave him his word that he'll come tomorrow.,فما شكون عاطيه كلمة باش يجيه غدوا
120,"impermaeable, water-proof, water-proof jacket",أمْپَارْمِيَابْلْ
121,"to undress, strip",تعرّى
122,any wrap for head,تَقْرِيطَة
123,t- shirt,"مَرْيُول ,تِيشُورْتْ"
124,"clothes, outfit",ثَوْبْ
125,traditional robe for men,جِبَّة
126,jibba made of special material,جِبَّة خَمْرِي
127,traditional jibba,جِبَّة عَرْبِي
128,old clothes,جْرُودْ
129,traditional North African robe,جَلاَّبَة
130,traditional Sudanese and Egyptian robe,جَلَّابِيَّة
131,leggings,جُوكِينْڨْ
132,"a jog, run",جُوكِينْڨْ
133,tight trousers for girls,جِيسْتْكُورْ
134,"vest, coat",جِيلَا
135,a vest,جِيلِيَّة
136,"put on, wearing",حَاطّْ
137,"wearing really nice clothes, dressed up",حَاطِتْ الحَطَّة
138,wearing a wig,حَاطِتْ پَارُوكْ
139,the sound of women's high heels,حِسْ الطَّالُونْ
140,someone who's always well dressed,حْطَايْطِي
141,nice clothes,حَطَّة
142,"apparel, good looks, clothing",حُلَّة
143,clothes,حْوَايِجْ
144,things,حْوَايِجْ
145,"The clothes you wear before going to sleep, pyjamas",حْوَايِجْ النُّومْ
146,tight clothes,حْوَايِجْ ضِيْقَة
147,sewn clothes,حْوَايِجْ مْطَرْزَة
148,a ring,خَاتِمْ
149,traditional silver bracelet for women,خُلْخَالْ
150,undershirt,خَلْعَة
151,"clothes, things, stuff",دْبَشْ
152,things,دْبَشْ
153,Jeans,دجين
154,sleeveless T-shirt,دِيبَارْدُورْ
155,dress,رُوبَّا
156,traditional clothes,لباس تَقْلِيدِي
157,overalls,سَالُوپَاتْ
158,belt,سَانْتُورْ
159,shoes,صبّاط
160,"nightie, negligee",سِتْرِينِڨْ
161,"pants, trousers",سِرْوَالْ
162,Arab trousers (loose pants),سِرْوَالْ عَرْبِي
163,silk trousers,سِرْوَالْ قَمْرَايَة
164,traditional wrap worn by older women,سِفْسَارِي
165,a traditional costume for men,سْكَافَنْدْرِي
166,"underpants, underwear",سْلِيبْ
167,bra,سوتيان قورج
168,buttoned shirt,سوريّة
169,"fez, felt red hat",شَّاشِيَّة
170,neck-warmer,شان (على الشتا)
171,slippers,شلاكة
172,flip flops,شلاكة بو صبع
173,shorts,شورت
174,shirt,شُومِيزْ
175,gold necklace formerly worn by the Bey,شيشخان
176,his shoes hurt him,صَبَّاطْ ضَارْبُو
177,"hightops, shoes that reach the ankles",صَبَّاطْ نُصْ قَصْبَةْ
178,sandals,صَنْدَالْ
179,"bathrobe, gown",صُورِيَّةْ نُومْ
180,jewelry,صْيَاغَة
181,to start wearing summer clothes,صَيِّفْ
182,high heels,طَالُونْ
183,"uniform , apron",طَبْلِيَّةْ
184,"cap, hood",طَرْبُوشَةْ
185,headband ,طَقْرِيطَةْ
186,"to strip, take off clothes",عَرَّى
187,"to take off a lid, reveal the truth",عَرَّى
188,to hem,عْطَفْ
189,to turn,عْطَفْ
190,a hem,عَطْفَةْ
191,button,فِلْسَةْ
192,scarf,فُولَارَةْ
193,"jacket, coat",فِيسْتَةْ
194,a type of thin cloth used for traditional clothes,ڨَاطِيفَةْ
195,wooden sandals for the public baths,قُبْقَابْ
196,bow ,ڨُرْبِيطَةْ
197,traditional long coat,قَشَّابِيَّةْ
198,to buy nice clothes,قَشِّشْ
199,"traditional robe, like jibba",قْطِيفَةْ
200,traditional dress,قُفْطَانْ
201,"type of traditional robe, often worn by traditional music band, with pants",قَمْرَايَةْ
202,Gloves,ڨْوَانْدُوَاتْ
203,nightie,ڨُونِيلَّا
204,"traditional hat, often worn by Jews",كَبُّوسْ
205,Coat,كَبُّوطْ
206,fur coat,كَبُّوطْ بِالفُورُورْ
207,Tie,كْرَافَاتْ
208,Bowtie,كْرَافَاتْ بَابِيُونْ
209,cleats,كُرُومْبُونْ
